sdsdot,0.000073,0.000021
sdot,0.000009,0.000010
sasum,0.000006,0.000010
saxpy,0.163871,0.000064
snrm2,0.000030,0.000009
sscal,0.000039,0.000015
sswap,0.000019,0.000015
scopy,0.000016,0.000012
srot,0.000026,0.000061
srotg,0.000000,0.000000
srotm,0.000080,0.000065
sgemm,0.579371,11.838988
